Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
15,27,71,98,23,117,42,25,1
81,11,18,11,2,101,29,41,1
51,10,8,23,11,114,27,45,1
19,11,37,59,6,68,19,27,1
20,4,23,26,8,91,44,74,1
24,4,30,3,16,8,20,42,1
61,13,31,23,5,46,46,63,1
36,3,1,15,5,32,7,26,1
16,5,11,14,6,85,14,5,1
14,2,14,17,28,127,1,3,1
37,9,26,9,3,38,19,6,1
36,1,17,10,11,91,6,22,1
51,23,12,10,1,43,16,33,1
34,32,87,31,0,4,21,45,1
64,13,4,4,7,89,61,99,1
52,10,35,8,4,102,1,26,1
5,14,9,31,5,22,75,84,1
71,6,54,46,1,71,13,38,1
85,19,39,2,2,88,4,51,1
15,14,35,13,8,104,38,108,1
14,3,36,5,7,24,6,0,1
2,15,17,28,9,10,23,39,1
29,5,9,43,6,1,13,22,1
4,22,35,0,6,41,25,5,1
16,4,29,21,2,56,30,48,1
95,21,51,15,10,65,28,67,1
60,1,20,14,16,16,12,47,1
34,3,8,6,8,122,25,14,1
6,9,13,0,10,59,68,18,1
16,4,0,18,17,18,21,9,1
12,13,41,9,6,33,4,11,1
9,1,1,6,17,11,30,11,1
22,6,44,38,2,92,3,2,1
44,29,34,86,13,77,25,3,1
4,16,12,21,0,77,12,55,1
43,1,23,15,8,96,5,41,1
34,6,10,21,2,23,5,1,1
36,29,100,65,16,74,67,61,1
81,22,35,48,0,37,64,96,1
14,5,8,30,5,75,37,26,1
10,18,8,19,12,17,13,31,1
38,2,1,38,5,56,48,43,1
48,17,2,3,0,27,15,13,1
40,21,35,20,1,23,26,7,1
61,9,21,41,1,1,3,9,1
19,12,17,46,8,43,7,36,1
23,17,26,58,12,72,5,32,1
43,15,7,11,11,23,36,85,1
3,17,13,8,7,80,17,17,1
11,17,17,2,6,39,11,60,1
39,23,46,34,7,36,39,9,1
37,9,3,15,1,13,19,43,1
42,5,15,5,2,69,27,26,1
2,8,21,14,8,17,39,40,1
25,1,31,7,11,21,27,32,1
28,24,15,43,3,52,16,17,1
74,57,88,56,4,32,7,6,1
7,14,10,22,8,44,18,5,1
31,3,4,3,2,23,11,39,1
29,11,19,34,5,13,2,31,1
32,6,18,26,12,29,22,28,1
72,4,29,18,2,85,18,45,1
